vol_cuft,size_fraction,ddt_hr,capture_fraction
205000.0,3.0063,120,0.9107
230000.0,3.3729,120,0.9336
255000.0,3.7395,120,0.9477
280000.0,4.1061,120,0.9596
305000.0,4.4728,120,0.9684
,0.0,180,0.0
1000.0,0.0147,180,0.0097
2000.0,0.0293,180,0.0194
3000.0,0.044,180,0.0283
4000.0,0.0587,180,0.0377
5000.0,0.0733,180,0.0464
10000.0,0.1466,180,0.0892
15000.0,0.22,180,0.1295
20000.0,0.2933,180,0.1683
25000.0,0.3666,180,0.2048
30000.0,0.4399,180,0.2393
55000.0,0.8066,180,0.3898
80000.0,1.1732,180,0.5096
105000.0,1.5398,180,0.6065
130000.0,1.9064,180,0.6827
155000.0,2.273,180,0.7452
180000.0,2.6397,180,0.7974
205000.0,3.0063,180,0.8425
230000.0,3.3729,180,0.8775
255000.0,3.7395,180,0.9053
280000.0,4.1061,180,0.9256
305000.0,4.4728,180,0.9405
,0.0,240,0.0
1000.0,0.0147,240,0.0081
2000.0,0.0293,240,0.0153
3000.0,0.044,240,0.0229
4000.0,0.0587,240,0.0299
5000.0,0.0733,240,0.0374
10000.0,0.1466,240,0.0723
15000.0,0.22,240,0.1058
20000.0,0.2933,240,0.1373
25000.0,0.3666,240,0.1683
30000.0,0.4399,240,0.1983
55000.0,0.8066,240,0.3304
80000.0,1.1732,240,0.4392
105000.0,1.5398,240,0.5306
130000.0,1.9064,240,0.6085
155000.0,2.273,240,0.6732
180000.0,2.6397,240,0.7283
205000.0,3.0063,240,0.7748
230000.0,3.3729,240,0.8147
255000.0,3.7395,240,0.851
280000.0,4.1061,240,0.8808
305000.0,4.4728,240,0.9046
,0.0,360,0.0
1000.0,0.0147,360,0.0058
2000.0,0.0293,360,0.0108
3000.0,0.044,360,0.0163
4000.0,0.0587,360,0.0218
5000.0,0.0733,360,0.0273
10000.0,0.1466,360,0.0527
15000.0,0.22,360,0.0779
20000.0,0.2933,360,0.1016
25000.0,0.3666,360,0.1251
30000.0,0.4399,360,0.1476
55000.0,0.8066,360,0.2525
80000.0,1.1732,360,0.345
105000.0,1.5398,360,0.4264
130000.0,1.9064,360,0.4979
155000.0,2.273,360,0.5612
180000.0,2.6397,360,0.6174
205000.0,3.0063,360,0.6674
230000.0,3.3729,360,0.7112
255000.0,3.7395,360,0.7499
280000.0,4.1061,360,0.7838
305000.0,4.4728,360,0.8156
,0.0,480,0.0
1000.0,0.0147,480,0.0045
