Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
120,0.18,0.52,0.0,33.0,33.2,99.39759036144578,0.0
120,0.2,0.52,0.0,33.1,33.2,99.69879518072288,0.0
120,0.22,0.52,0.0,33.1,33.2,99.69879518072288,0.0
120,0.24,0.52,0.0,33.1,33.2,99.69879518072288,0.0
120,0.26,0.52,0.0,33.1,33.2,99.69879518072288,0.0
120,0.28,0.52,0.0,33.2,33.2,100.0,0.0
120,0.3,0.52,0.0,33.2,33.2,100.0,0.0
120,0.32,0.52,0.0,33.2,33.2,100.0,0.0
120,0.34,0.52,0.0,33.2,33.2,100.0,0.0
120,0.36,0.52,0.0,33.2,33.2,100.0,0.0
120,0.38,0.52,0.0,33.2,33.2,100.0,0.0
120,0.4,0.52,0.0,33.2,33.2,100.0,0.0
120,0.45,0.52,0.0,33.2,33.2,100.0,0.0
120,0.5,0.52,0.0,33.2,33.2,100.0,0.0
120,0.55,0.52,0.0,33.2,33.2,100.0,0.0
120,0.6,0.52,0.0,33.2,33.2,100.0,0.0
120,0.65,0.52,0.0,33.2,33.2,100.0,0.0
120,0.7,0.52,0.0,33.2,33.2,100.0,0.0
120,0.75,0.52,0.0,33.2,33.2,100.0,0.0
120,0.8,0.52,0.0,33.2,33.2,100.0,0.0
120,0.85,0.52,0.0,33.2,33.2,100.0,0.0
120,0.9,0.52,0.0,33.2,33.2,100.0,0.0
120,0.95,0.52,0.0,33.2,33.2,100.0,0.0
120,1.0,0.52,0.0,33.2,33.2,100.0,0.0
